Relative altitude [m],Wind speed [m/s],Wind direction [deg]
14.292,1.5088136972049098,2.79637386933664
14.328000000000001,1.483922060130802,3.0636082695554845
14.364,1.473887466222427,2.953310996830472
14.399000000000001,1.480294312345544,3.0989458755664923
14.435,1.4702367899502196,3.3297365117985653
14.47,1.460321488124204,2.9815544467824693
14.504,1.4312884500624896,2.965530159804799
14.539,1.4251648193754614,3.3815394082951817
14.574,1.4223798325059933,3.1094914665663933
14.609,1.419953963093317,3.422739927652532
14.644,1.4312997466137298,2.8726529772059526
14.679,1.437341602138902,3.5472387494183466
14.714,1.4331468623154637,3.879981476067321
14.749,1.4298717770463765,3.7204834367354955
14.784,1.445067042274393,3.1087175115667014
14.819,1.4438858052271024,2.5494939554813434
14.853,1.4201414784236788,3.2391157919680738
14.888,1.434153309138268,3.766982289586756
